Name,Team,Ratings:
Mohammed Siraj,IND,691
Mitchell Starc,AUS,686
Rashid Khan,AFG,682
Matt Henry,NZ,667
Mujeeb Ur Rahman,AFG,661
Trent Boult,NZ,660
Adam Zampa,AUS,652
Shaheen Afridi,PAK,630
Shakib Al Hasan,BAN,618
Mohammad Nabi,AFG,615
Chris Woakes,ENG,612
Mark Watt,SCO,611
Kagiso Rabada,SA,600
Pat Cummins,AUS,597
Jofra Archer,ENG,596
Bernard Scholtz,NAM,589
Saurabh Netravalkar,USA,586
Maheesh Theekshana,SL,583
Akeal Hosein,WI,580
Alzarri Joseph,WI,580
Mustafizur Rahman,BAN,576
Kuldeep Yadav,IND,576
Sandeep Lamichhane,NEP,568
Lungi Ngidi,SA,562
Andy McBrine,IRE,562
Jasprit Bumrah,IND,552
Mark Adair,IRE,549
Mehedi Hasan,BAN,548
Adil Rashid,ENG,547
Wanindu Hasaranga,SL,540
Mohammad Shami,IND,540
Fazalhaq Farooqi,AFG,524
Mohammad Nawaz,PAK,524
Mark Wood,ENG,523
Keshav Maharaj,SA,521
Richard Ngarava,ZIM,518
Mitchell Santner,NZ,515
David Willey,ENG,514
Christopher Sole,SCO,509
Ruben Trumpelmann,NAM,508
Haris Rauf,PAK,505
Shardul Thakur,IND,505
Yuzvendra Chahal,IND,503
Taskin Ahmed,BAN,502
Aayan Afzal Khan,UAE,500
Tabraiz Shamsi,SA,500
Joshua Little,IRE,499
Bilal Khan,OMA,499
Shadab Khan,PAK,498
Tim Southee,NZ,487
Logan van Beek,NED,485
Zeeshan Maqsood,OMA,483
Blessing Muzarabani,ZIM,482
Kaleemullah,OMA,481
Taijul Islam,BAN,480
Nosthush Kenjige,USA,479
Safyaan Sharif,SCO,477
Anrich Nortje,SA,475
Lachlan Ferguson,NZ,475
Rohan Mustafa,UAE,473
Dushmantha Chameera,SL,472
Dipendra Airee,NEP,470
Fred Klaassen,NED,468
Sikandar Raza,ZIM,468
Assad Vala,PNG,464
Chad Soper,PNG,462
Sam Curran,ENG,454
Sean Abbott,AUS,448
Zahoor Khan,UAE,446
Jason Holder,WI,442
Moeen Ali,ENG,441
Mohammad Wasim,PAK,440
Junaid Siddique,UAE,439
Ashton Agar,AUS,438
Michael Leask,SCO,431
Craig Young,IRE,430
Hardik Pandya,IND,428
Sompal Kami,NEP,427
Ravindra Jadeja,IND,427
Simi Singh,IRE,424
Naseem Shah,PAK,424
Ish Sodhi,NZ,424
Aryan Dutt,NED,421
Tangeni Lungameni,NAM,421
Jhye Richardson,AUS,421
Karan KC,NEP,421
Dhananjaya de Silva,SL,419
Reece Topley,ENG,418
Brandon McMullen,SCO,417
Hasan Ali,PAK,415
Wayne Parnell,SA,410
Nisarg Patel,USA,409
Andile Phehlukwayo,SA,408
Henry Shipley,NZ,400
M. Prasidh Krishna,IND,395
Kasun Rajitha,SL,395
Lalit Rajbanshi,NEP,388
Ebadot Hossain,BAN,385
Hamza Tahir,SCO,385
