Name:,Matches:,Points:,Rating:
Australia,23,"2,714","
                            118
                            "
Pakistan,20,"2,316",116
India,33,"3,807",115
New Zealand,27,"2,806",104
England,24,"2,426",101
South Africa,19,"1,910",101
Bangladesh,27,"2,520",93
Afghanistan,15,"1,361",91
Sri Lanka,32,"2,794",87
West Indies,35,"2,312",66
Zimbabwe,30,"1,641",55
Scotland,33,"1,662",50
Ireland,24,"1,052",44
Netherlands,28,"1,044",37
Nepal,40,"1,396",35
Namibia,28,813,29
United States,31,808,26
Oman,24,525,22
UAE,41,617,15
